budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.6660349504074141,22,0.7903547595755578,23,0.6618428824053741,31
50,0.7619943421389374,26,0.7700844636077926,25,0.7648076630637317,26
50,0.7649424719229021,23,0.6886157103651553,27,0.6833960178962857,29
50,0.3637987608454818,28,0.8719828924045571,20,0.6854102069446156,25
50,0.7842920349182111,22,0.9908919670691811,20,0.9799563018394312,30
50,0.7686057822411976,18,0.7893718669018921,26,0.8818046506247066,28
50,0.586290355662777,22,0.6906575414177849,23,0.4669090314274137,26
50,0.8614155668145582,26,0.7692068630704855,26,0.4681002897568238,24
50,0.5829878565624158,27,0.6926334532928148,19,0.684211064372578,27
50,0.7843448504026367,22,0.4904191104533786,27,0.7847892808077765,25
50,0.4677176433475556,23,0.6888144154287943,28,0.7850359839975001,24
50,0.7881938309354678,17,0.8914703903496878,20,0.6809789261669239,32
50,0.7830736757811894,24,0.7914230745034797,21,0.8825077312613991,27
50,0.685645875686802,22,0.789941466526807,24,0.5806195917777839,33
50,0.78704974030589,19,0.6922009170911045,21,0.7612613529527478,31
50,0.8787379245548486,28,0.8901562474323601,23,0.3891800976151672,22
50,0.5871085078755702,21,0.8894327514551083,24,0.6855178069041457,25
50,0.675213617924356,35,0.7908837337830177,22,0.5633963545798462,30
50,0.7655810832692115,23,0.7689886391969416,26,0.7823426276811576,29
50,0.6630976468605672,26,0.8704249366170607,23,0.5837710290020254,28
50,0.764192222101468,23,0.5704755606300875,26,0.5613574048847061,33
50,0.5888625074640708,18,0.8854181679154823,33,0.8868903944432632,21
50,0.5819198972201346,27,0.8672004103947142,29,0.6855895035011321,25
50,0.5696771636725411,19,0.8691909713630632,25,0.7609969813221402,31
50,0.5818029787082348,28,0.8875592977953266,28,0.7803262318695221,31
50,0.76542875765663,22,0.7707828375166845,23,0.6864266870843649,23
50,0.5660371083071087,23,0.769072301767851,27,0.3829109730876875,32
50,0.8643637392058744,22,0.7894284603974109,25,0.7843188771544576,25
50,0.6614794390241723,28,0.5891340823492329,28,0.16520088336494054,32
50,0.7883649704452643,17,0.590064069348895,25,0.3607233272028416,36
100,0.4748652454256784,52,0.7897887774219408,50,0.6844691891232391,53
100,0.5343520779597181,50,0.9898325292498572,43,0.7328144318949096,56
100,0.5854081235342838,47,0.7898405143700277,49,0.5844488350431454,56
100,0.6839549034774919,48,0.8305509735078327,46,0.6344540771488559,54
100,0.6314916325881703,56,0.5309596935942084,50,0.425457849596484,56
100,0.625349723443027,48,0.7290917899684048,54,0.8236956932290086,52
100,0.735350402760578,45,0.7900188325735752,48,0.6801966564100572,65
100,0.6219673106562578,56,0.8389815030268535,51,0.4863443681658658,52
100,0.7323516359634485,51,0.7885323566435547,54,0.6689018129512228,70
100,0.7327956843522185,51,0.8285731951198023,53,0.4366729666122052,52
100,0.6322904441476771,53,0.5891619471534009,57,0.5338756013010668,59
100,0.6875680938568851,39,0.8894775783279165,49,0.5357211185933097,53
100,0.6745810961756005,47,0.6907403822875929,46,0.6845549824106439,53
100,0.5836224644498689,52,0.6904006116795218,50,0.7858051193286208,47
100,0.58427824919353,49,0.8780202631269077,56,0.6843324561972429,54
100,0.7311673203986072,54,0.7799202412781182,49,0.6759793474219483,51
100,0.6830892254495141,50,0.8879890253444989,53,0.6824210547013162,58
100,0.7231261273404759,50,0.8884922070541831,51,0.5857523044852899,53
100,0.7334258139052676,50,0.7410415443954426,46,0.7355412472574222,49
100,0.6713904417997425,56,0.7283276182295695,58,0.6841557100362152,54
100,0.6728944648782831,52,0.7883835134828174,55,0.3859737357449933,57
100,0.7215687071588432,54,0.7911151203647167,43,0.3351412052914088,59
100,0.7218450444961004,53,0.7919064351902503,41,0.6342706219784588,55
100,0.6825548031590143,50,0.7901167979264649,47,0.6706471919468813,65
100,0.6796688301696852,59,0.8408688118105596,43,0.8337138812473743,53
100,0.7846240103620037,44,0.8397782639790997,47,0.8338276642203937,53
100,0.7809158757523952,51,0.9380273691414815,52,0.4743647123935046,59
100,0.4840223002998212,52,0.8905044440016603,44,0.5843013743771814,56
100,0.8333792520124209,47,0.8294752503447579,49,0.7350486851718738,50
100,0.7823442813368098,50,0.7896622454549248,50,0.6732430281438534,56
200,0.6273533808977328,109,0.8395847099164209,98,0.6097337192820615,109
200,0.7603019874693744,87,0.7158674600938837,96,0.6786874105946845,117
200,0.6541829443693613,99,0.8156151426429957,92,0.7337680698040059,109
200,0.7288087114898835,97,0.8097130882981718,99,0.6275722516367284,122
200,0.6328974540326823,106,0.7906617291955687,95,0.6041127730187706,113
200,0.6831201349352503,103,0.7606220262403351,97,0.4841934876974713,121
200,0.7602065660444812,87,0.7645978761217321,102,0.6537540827028463,116
200,0.7007472224582181,116,0.8640585874993318,101,0.7097911970412805,106
200,0.8082660343988141,95,0.7401681289284998,102,0.6845685888920543,107
200,0.6358254462106778,90,0.9145998847400136,95,0.534563477353039,113
200,0.6333386299619632,106,0.7610126376668559,92,0.5605542997537124,110
200,0.7326711463320592,100,0.7403629517751602,100,0.8032582931323128,109
200,0.7835613934640048,95,0.7898880881400245,98,0.5349410973345399,112
200,0.6368761522619294,85,0.7902913466175775,95,0.7268766097542607,122
200,0.857469879559342,98,0.7649314974645625,100,0.708589331715074,112
200,0.5865765932377128,91,0.7109192056800722,95,0.6335371052443116,117
200,0.7303656245348096,114,0.7347719359030941,102,0.4634032938755509,98
200,0.6574336701225107,109,0.8846747499307309,94,0.5798468200461735,112
200,0.6856943799905768,89,0.7900911615360692,95,0.586183052996848,103
200,0.6777834234896254,104,0.6912948883081886,95,0.6845584158076601,109
200,0.8329978267823567,96,0.7645128036775493,103,0.7089358823699685,111
200,0.7339728471235202,97,0.7854436706575532,96,0.6041081031985953,119
200,0.7580949877119599,99,0.8598781794959149,95,0.6601625336013018,106
200,0.7794588193936904,92,0.7355398571384684,97,0.8314449260846666,119
200,0.7322077308094765,102,0.7402768299466361,100,0.5791743128889557,114
200,0.8081035272861973,96,0.8150884963491131,98,0.6858917923116216,98
200,0.7581807989542321,96,0.8657170261956484,90,0.6587898496283415,111
200,0.7543122341049779,93,0.7405007580053109,96,0.5556950481263294,107
200,0.7829950348850524,97,0.8395977410974753,98,0.6594338673668414,111
200,0.73304951468171,100,0.7648268668729872,101,0.5790290064750455,115
400,0.7203565907876714,208,0.8519694457943285,199,0.5955056685739387,227
400,0.6598266002730033,203,0.7666929213351276,180,0.5592287707977037,220
400,0.8210426787179248,186,0.7376210055786563,205,0.6963003424678329,233
400,0.7330174923449801,207,0.8756839946731926,177,0.6242314272807862,210
400,0.6961694842237172,204,0.7779737451807945,203,0.6851142181940086,219
400,0.6607660766961654,191,0.8030993318528858,192,0.5610998503916103,230
400,0.6472436844172389,203,0.838603742058301,178,0.6360200683472351,213
400,0.7445609800698249,189,0.8394189766338499,204,0.6236052307270099,214
400,0.7822511504439065,206,0.8278304634079228,205,0.6089539162901119,219
400,0.6210731302263759,211,0.7527462909769179,201,0.6588249729936745,235
400,0.6589585286391468,204,0.8036925102577868,179,0.6453628117906449,219
400,0.7587542717391633,197,0.7647397039622741,205,0.6091609316740091,236
400,0.6714966918809164,203,0.8280573882795375,187,0.5598980889455414,236
400,0.6723023041042488,197,0.7905340280194244,195,0.6107211937850814,224
400,0.6468885885049779,203,0.8279077575795498,186,0.6950723873548164,220
400,0.7328254596525219,208,0.7782055139502942,191,0.6352487255600459,219
400,0.7818037577688426,191,0.8495459179457607,203,0.6219693988226613,230
400,0.7342104174026793,196,0.8280180503670449,198,0.7094442993870249,222
400,0.7728244333403359,179,0.7781816293024538,189,0.6965677353843547,227
400,0.7456778101948256,203,0.7407607752954014,189,0.5983498151669795,221
400,0.6568878388816851,202,0.7657891484872126,198,0.796096584948005,222
400,0.6807459618354699,208,0.8516013403587709,205,0.6227560713607958,224
400,0.7218542795000569,194,0.8502408962779082,196,0.6719865087856525,218
400,0.7832929049497273,200,0.7537644754916324,183,0.6723164004520384,219
400,0.6724243610468988,195,0.8398245225277801,198,0.7452348638889765,235
400,0.6324032636438697,200,0.8001114754996915,205,0.7474457296982264,219
400,0.6598222873281239,194,0.8501487846128453,188,0.7474044378414464,214
400,0.7303540724159943,203,0.7382849819371595,193,0.6933288951288469,232
400,0.6362642168060426,185,0.8411325705548909,183,0.6717925059962868,235
400,0.7201296381051236,211,0.813400188639254,190,0.6095466973216274,233
800,0.7420681929798871,384,0.7758735399739927,384,0.6787460544002657,442
800,0.7422070698571106,386,0.7753965244847842,385,0.7223489327914688,430
800,0.6848929003355576,396,0.8447375567853898,373,0.5981029798349827,461
800,0.7341167982868368,410,0.7916524730330392,380,0.6919632463931253,451
800,0.7580622074180063,405,0.8097752976130248,381,0.655012125863186,449
800,0.6660514693241355,406,0.7412452095178848,389,0.6175374417353623,438
800,0.821926470560052,391,0.8104113280221333,377,0.7048509507043565,440
800,0.7287402219165029,414,0.8136961867316859,382,0.6422625151571436,447
800,0.7163282064277162,405,0.7235097190779464,388,0.5945416161034747,452
800,0.7161462190203314,389,0.7550304901754292,390,0.6060509608631088,453
800,0.7476328944596813,397,0.7851183620424153,378,0.6475527966976344,449
