budget,accuracy_D,failures_D,accuracy_E,failures_E,accuracy_F,failures_F
50,0.6855819940964797,23.0,0.8223215965069497,28.0,0.4145173228327911,31.0
50,0.7407356326877246,32.0,0.8084457553479089,24.0,0.7226134000781872,33.0
50,0.7132635311898523,28.0,0.6260367654380751,36.0,0.7684134739856359,30.0
50,0.7749542103245449,26.0,0.7412434312845846,26.0,0.5958801915061821,27.0
50,0.6557931405700846,26.0,0.5740361065517172,28.0,0.7764028359555046,27.0
50,0.7411046286716141,27.0,0.765686460877635,23.0,0.8132555750131311,32.0
50,0.7217939385423102,26.0,0.8418763061696484,20.0,0.7013859671332336,28.0
50,0.7713514769398252,22.0,0.8901618120087755,22.0,0.7616798667973855,28.0
50,0.5502490819612437,27.0,0.6749659959328711,23.0,0.7006619174886235,27.0
50,0.8132807394866272,22.0,0.805272987513033,28.0,0.6155407703288456,31.0
50,0.6718677398172135,31.0,0.7348582080859811,26.0,0.6896182105223571,29.0
50,0.7870925288405162,24.0,0.8269390157686961,24.0,-3.2289054066160814,30.0
50,0.679814883279348,22.0,0.8526210717039502,22.0,0.4336376955703639,37.0
50,0.7890254298034822,26.0,0.8496038941430175,19.0,-1.3101736502872674,29.0
50,0.6224286335774527,33.0,0.7668540416032562,25.0,0.5986714445744772,33.0
50,0.5332410158615003,26.0,0.7321216670146026,22.0,0.4524617805866286,34.0
50,0.6956029123921286,30.0,0.8626993651672872,21.0,0.6239013392636348,33.0
50,0.7114250982550966,24.0,0.9060213675753568,21.0,0.6979417335620317,34.0
50,0.8551457993425067,22.0,0.7505478978033471,28.0,0.7300489464824975,28.0
50,0.6127814497915169,27.0,0.7509598274396916,23.0,-1.1941572244411356,28.0
50,0.5060078100123157,32.0,0.816150687844768,26.0,-2.9748627689189795,27.0
50,-1.900616804734426,28.0,-0.6164677194601595,26.0,0.7306196599276313,29.0
50,0.8371422881143035,22.0,0.6935762473128144,26.0,0.7786706448018539,33.0
50,0.605715285862069,28.0,0.7870953497434434,20.0,0.5949234070775491,29.0
50,0.7178716296655712,22.0,0.8788909016598818,21.0,0.8056764444449485,27.0
50,0.7941082567056489,27.0,0.7748052427913414,21.0,0.8272921907800718,30.0
50,0.464490565128509,25.0,0.7929676886337489,17.0,0.6884621965101101,26.0
