budget,accuracy_A,failures_A,accuracy_B,failures_B,accuracy_C,failures_C
50,0.8776755709685244,11.0,0.9645013316113068,3.0,0.9282814080483508,8.0
50,0.855112128397501,10.0,0.992137573306096,1.0,0.9616042801398372,4.0
50,0.950960908471823,5.0,1.0,0.0,0.9453421712272421,6.0
50,0.9373685566820148,5.0,0.8773879496254852,8.0,0.9567595058359428,5.0
50,0.8895262983608438,9.0,0.9288924634566909,7.0,0.9742085388572622,3.0
50,0.9099361592190882,6.0,0.9598811762248748,4.0,0.9683338270253056,3.0
50,0.9494270627899548,5.0,0.9267151176153129,5.0,0.9560342235467242,6.0
50,0.9590282757834216,3.0,0.9552009760784934,5.0,0.9594550116428412,4.0
50,0.8972840195501987,6.0,0.942269089418788,5.0,0.9427728625730092,7.0
50,0.926012053585732,6.0,0.9309353761833724,6.0,0.9463282781252196,6.0
50,0.9325540531098094,5.0,0.9505942219131354,4.0,0.9490107142759028,6.0
50,0.8591518521863363,10.0,0.96854799369114,3.0,0.8907671820508208,10.0
50,0.8836976114520834,7.0,0.9579730133690396,4.0,0.9521213274822432,5.0
50,0.9110028507846876,6.0,0.9685090187723008,3.0,0.9584352234007848,5.0
50,0.9000985108139892,6.0,0.947810398497092,3.0,0.9250483283909616,8.0
50,0.935393253458414,5.0,0.9619734473971916,4.0,0.9754948827113172,3.0
50,0.9310098744844374,5.0,0.9451783122833468,5.0,0.9485767303987434,6.0
50,0.8912801345872865,8.0,0.9208767901783808,6.0,0.9154202723028868,9.0
50,0.8834336461215939,7.0,0.9406708801479636,5.0,0.9681879634512438,3.0
50,0.9426640130072764,4.0,0.9302110194862104,5.0,0.9129156132740176,7.0
50,0.8610240927481623,10.0,1.0,0.0,0.9479448043409908,5.0
50,0.8963474550752393,8.0,0.9832046241401629,2.0,0.9405827783242298,8.0
50,0.8572392067089962,12.0,0.923389956850616,7.0,0.9693628443300726,3.0
50,0.9160120974719542,6.0,0.9282790772141616,5.0,0.8985825880933276,11.0
50,0.9255086335228372,6.0,0.9502679243385586,4.0,0.877238090468059,12.0
50,0.9488762750763424,5.0,0.9432476327105124,4.0,0.9018338232772366,12.0
50,0.9232653636683562,4.0,0.943622341393906,6.0,0.93143661776063,6.0
50,0.8850406074926767,9.0,0.9824530336664812,2.0,0.8884688049674065,11.0
50,0.892710873609186,9.0,0.9782623056291851,2.0,0.9328413345912244,8.0
50,0.9604627406699874,5.0,0.9514349006650008,4.0,0.9173096554463308,8.0
100,0.8922319618440255,15.0,0.9481545689707108,7.0,0.9190348532448991,17.0
100,0.9205074629877908,15.0,0.9273382783136108,11.0,0.9439081046086738,11.0
100,0.8597451822728726,19.0,0.9002405444279992,11.0,0.9413997519512904,13.0
100,0.8692637495672382,19.0,0.9350716421030812,11.0,0.9341530548071348,14.0
100,0.8964200401965908,13.0,0.9461073535824222,8.0,0.940313454760468,15.0
100,0.916580504907998,11.0,0.9568851510450824,7.0,0.9474794870772848,12.0
100,0.9283085230941328,11.0,0.9554279338166268,9.0,0.9459781979473424,12.0
100,0.9593063267028358,6.0,0.9306779800041723,11.0,0.9151794943246508,16.0
100,0.8331225145275212,25.0,0.9444977335032404,10.0,0.9228606845189328,18.0
100,0.8722211646721596,17.0,0.982141160975946,3.0,0.9299499229226196,14.0
100,0.9221772084480162,10.0,0.940550972695726,7.0,0.8770629409300491,25.0
100,0.917990385905447,13.0,0.936802463907266,10.0,0.9248271027645238,17.0
100,0.8762291970701462,19.0,0.938341861131502,12.0,0.9050583478300634,18.0
100,0.926702988222856,12.0,0.9125153302733344,14.0,0.8983684238771249,22.0
100,0.9046610980527664,12.0,0.9125492031785808,16.0,0.9496189770424216,12.0
100,0.908943109366784,14.0,0.9863451329025282,4.0,0.9467383989471052,12.0
100,0.8923276757665588,14.0,0.9537871867522082,8.0,0.9373936764744046,13.0
100,0.8708337419102646,17.0,0.9158742934731088,12.0,0.9215891340329336,16.0
100,0.8763385517214407,19.0,0.9305226607875832,11.0,0.9444068613472084,12.0
100,0.8364145195756251,21.0,0.9636705308562291,6.0,0.9159574322031016,18.0
100,0.8977799189529431,14.0,0.9381239631583468,9.0,0.9448608976674968,11.0
100,0.8734168199163169,18.0,0.9510666693163194,6.0,0.9537744292361996,11.0
100,0.9303786250280408,13.0,0.9484897709149592,10.0,0.9321938227262762,14.0
100,0.8322171348620994,17.0,0.9643872384340748,8.0,0.9057444741910768,20.0
100,0.8788520526113929,19.0,0.942516819403564,9.0,0.9343272950747776,14.0
100,0.8337700407857497,22.0,0.950860566225139,8.0,0.9364527225922952,14.0
100,0.8791839440925825,17.0,0.9392575226537634,11.0,0.9534524069411664,10.0
100,0.8907418860755747,17.0,0.9434782329765979,9.0,0.9195591597063184,17.0
100,0.8639964734539283,22.0,0.9301162504288556,12.0,0.9707837930491079,7.0
100,0.8852480983620227,15.0,0.945812741166326,10.0,0.9430440984781624,14.0
200,0.8954928542885431,24.0,0.9250784896489096,24.0,0.9093742857809056,37.0
200,0.902087831403874,28.0,0.9563065065757268,16.0,0.9412216407279316,27.0
200,0.8983012274711367,28.0,0.9568242865757132,13.0,0.9234539294651736,29.0
200,0.8541180005773191,39.0,0.950735712724376,15.0,0.9308822645664504,31.0
200,0.9290326037247764,21.0,0.954361228249646,16.0,0.9330014363482954,26.0
200,0.900969991258782,30.0,0.9522742921821682,16.0,0.9242619471650396,32.0
200,0.8892014569013764,34.0,0.9438205295799978,19.0,0.9411975666876886,22.0
200,0.8997473660446618,29.0,0.9586931031828664,14.0,0.9345218030326508,27.0
200,0.8808194312738843,34.0,0.9727189805839258,12.0,0.91303534023379,37.0
200,0.9307776484490992,23.0,0.9442539852336036,18.0,0.9350661671519672,29.0
200,0.9016094730578976,27.0,0.9422497370364952,20.0,0.9224510747829592,35.0
200,0.9342356710370571,22.0,0.9350181460428184,21.0,0.9289978429464699,27.0
200,0.8827109964534556,32.0,0.9507002557089466,16.0,0.927630301108334,34.0
200,0.9014719514766704,29.0,0.9367550248038904,21.0,0.950973067986428,22.0
200,0.9225104828638312,27.0,0.9635068932631256,14.0,0.91687445422775,36.0
200,0.92406769261362,22.0,0.9540539699491706,17.0,0.9426137086948044,22.0
200,0.91090057240319,27.0,0.9322081004761512,24.0,0.9270606684070776,32.0
200,0.9214610707829554,21.0,0.9359217031387044,22.0,0.9342612518535838,31.0
200,0.9345044701519212,22.0,0.9384247329894332,18.0,0.9263709804344744,33.0
200,0.8938716698637108,29.0,0.9276915824649596,24.0,0.9268592308641888,31.0
200,0.894616597886066,31.0,0.9575419485533648,11.0,0.9343046920684924,30.0
200,0.8817995167117791,35.0,0.9420237012000364,16.0,0.9553328318269312,21.0
200,0.8978852366412685,29.0,0.9483201554435402,18.0,0.941357861744014,27.0
200,0.9299018606874484,21.0,0.9608752931837884,14.0,0.9516567060213548,20.0
200,0.8920911091965212,30.0,0.9326552467168476,23.0,0.9285237111562292,30.0
200,0.8954026543843554,30.0,0.9542433382747398,18.0,0.9558606296472436,19.0
200,0.9200799257952738,21.0,0.9455686081829359,14.0,0.9308615254291398,29.0
200,0.8764239739979893,33.0,0.9478805510102736,16.0,0.942085628523992,26.0
200,0.9077459770220062,28.0,0.9389688485049952,20.0,0.9248538307166708,31.0
200,0.9034788726702416,33.0,0.9530952416886136,13.0,0.934587782203753,30.0
