model,aux,spearman,spearman_p-value
Dave_orig,lsa,0.23730457730182675,1.041027573200933e-72
Dave_orig,VAE,0.009808535635410471,0.46247680967827876
Dave_orig,SAE,-0.0005473731610035273,0.9672929485229969
Dave_dropout,lsa,0.18658254200512364,3.750443357182843e-45
Dave_dropout,VAE,-0.00546537962640124,0.6822356100579309
Dave_dropout,SAE,0.0066512006345420035,0.618310246855311
