model,aux,coefficient,intercept,p-value_coeff,p-value_intercept,spearman,spearman_p-value
modelA_final,confidence,8.07925164508546,-3.3552235558686996,0.0,0.0,0.40434611829130673,0.0
modelA_final,lsa,19.37046379426188,-3.267648410825673,0.0,0.0,0.40434611829130673,0.0
modelA_final,dsa,15.56229959144733,-3.515444859371958,0.0,0.0,0.24365753363466014,0.0
modelB_final,confidence,9.902939151777481,-3.606476776514731,0.0,0.0,0.3327142864561687,0.0
modelB_final,lsa,26.231856521862007,-4.540589220756309,0.0,0.0,0.3327142864561687,0.0
modelB_final,dsa,14.666346563460648,-5.057074358742703,0.0,0.0,0.2347580224445352,0.0
modelC_final,confidence,9.054585455280936,-4.726113997567609,0.0,0.0,0.3721251065927867,0.0
modelC_final,lsa,42.26980295653417,-4.66140380966845,0.0,0.0,0.3721251065927867,0.0
modelC_final,dsa,16.14374682986344,-6.505215946514632,0.0,0.0,0.3778754020044994,0.0
modelD_final,confidence,5.360725587801081,-2.14086229473535,0.0,0.0,0.4810423481047247,0.0
modelD_final,lsa,0.9728002574849582,-1.161719126549346,0.0,1.5987211554602254e-14,0.4810423481047247,0.0
modelD_final,dsa,7.3588166958177155,-3.356391478679769,0.0,0.0,0.36040319327109865,0.0
modelE_final,confidence,6.363010921925711,-2.4430737122973607,0.0,0.0,0.5016607178917717,0.0
modelE_final,lsa,26.031340471522324,-2.3178785069278787,0.0,0.0,0.5016607178917717,0.0
modelE_final,dsa,11.279376052398076,-5.764770712782142,0.0,0.0,0.42441188174231265,0.0
modelF_final,confidence,4.871960321929239,-1.2357981718813198,0.0,0.0,0.456233415602283,0.0
modelF_final,lsa,3.142147775816278,-1.273843889430362,0.0,0.0,0.456233415602283,0.0
modelF_final,dsa,10.885082542444668,-3.9349198479251877,0.0,0.0,0.33937433835115993,0.0
modelG_final,confidence,6.241865403299574,-1.249893139337435,0.0,0.0,0.5687266620507467,0.0
modelG_final,lsa,15.59247233388958,-1.359140572438089,0.0,0.0,0.5687266620507467,0.0
modelG_final,dsa,26.8189300745588,-2.2165581820087805,0.0,0.0,0.5659571739190654,0.0
modelH_final,confidence,5.407824608436013,-1.4443128161486172,0.0,0.0,0.5626071507448595,0.0
modelH_final,lsa,12.000439374556544,-3.006068183559565,0.0,0.0,0.5626071507448595,0.0
modelH_final,dsa,23.10581044296392,-5.496830853201116,0.0,0.0,0.4339590864896069,0.0
modelI_final,confidence,5.717375173837098,-1.176299542496281,0.0,0.0,0.5677378331439036,0.0
modelI_final,lsa,21.865129734940787,-1.1953139472734466,0.0,0.0,0.5677378331439036,0.0
modelI_final,dsa,12.949367162889738,-8.34110459295967,0.0,0.0,0.5026919911346007,0.0
